query,Description,COG
uvrA_1_uvrA_2_uvrA,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",L
tyrB,aminotransferase,E
alr,Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids,E
dusA,"Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs",J
group_5967,transfer protein,S
zur,belongs to the Fur family,P
group_3668,CsbD-like,S
group_5003,"Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair",K
dgkA,Recycling of diacylglycerol produced during the turnover of membrane phospholipid,M
ubiC,"Removes the pyruvyl group from chorismate, with concomitant aromatization of the ring, to provide 4- hydroxybenzoate (4HB) for the ubiquinone pathway",H
malK_2_malK_1_malK_3,Belongs to the ABC transporter superfamily,P
malE,Functions in the MalKFGE ABC transporter complex to transport maltose into the cell by using ATP hydrolysis,G
malF,transport,P
malG,transport,P
group_806,Lipoprotein,M
group_5247,Capsule biosynthesis GfcC,NU
gfcB,Lipoprotein,S
pgi_2_pgi_1_pgi,Belongs to the GPI family,G
lysC,Belongs to the aspartokinase family,E
rtcB_2_rtcB_1_rtcB,Belongs to the RtcB family,S
panS_2_panS_1_panS,Bile acid sodium symporter,S
group_5680,Na Pi-Cotransporter,P
metH_2_metH_3_metH_1_metH,methionine synthase,E
aceK_aceK_2_aceK_1,"Bifunctional enzyme which can phosphorylate or dephosphorylate isocitrate dehydrogenase (IDH) on a specific serine residue. This is a regulatory mechanism which enables bacteria to bypass the Krebs cycle via the glyoxylate shunt in response to the source of carbon. When bacteria are grown on glucose, IDH is fully active and unphosphorylated, but when grown on acetate or ethanol, the activity of IDH declines drastically concomitant with its phosphorylation",F
aceA,Isocitrate lyase,C
aceB,Involved in the glycolate utilization. Catalyzes the condensation and subsequent hydrolysis of acetyl-coenzyme A (acetyl-CoA) and glyoxylate to form malate and CoA,C
glnQ_2,amino-acid ABC transporter ATP-binding protein YhdZ,P
yhdY_2_yhdY_1_yhdY,amino acid ABC transporter,P
yhdW,Belongs to the bacterial solute-binding protein 3 family,ET
acrF_1_acrF_acrF_4_acrF_3_acrF_2_acrB_1_acrB_2,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,V
acrR_1_acrR_2,acrEF envCD operon,K
fis,Activates ribosomal RNA transcription. Plays a direct role in upstream activation of rRNA promoters,K
dusB,"Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines",J
prmA,Ribosomal protein L11 methyltransferase,J
panF,Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,H
yhdT,Membrane,S
accC_2_accC_accC_1,"An AccC homodimer forms the biotin carboxylase subunit of the acetyl CoA carboxylase, an enzyme that catalyzes the formation of malonyl-CoA, which in turn controls the rate of fatty acid metabolism",I
accB,"first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA",I
aroQ,Catalyzes a trans-dehydration via an enolate intermediate,E
msrQ,"Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. MsrQ provides electrons for reduction to the reductase catalytic subunit MsrP, using the quinone pool of the respiratory chain",C
msrP_1_msrP_2_msrP,"Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. The catalytic subunit MsrP is non-stereospecific, being able to reduce both (R-) and (S-) diastereoisomers of methionine sulfoxide",C
mreB,Actin,D
mreC,Involved in formation and maintenance of cell shape,M
mreD,Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins,M
rng,Involved in the processing of the 5'-end of 16S rRNA,J
tldD,"'responsible for the proteolytic maturation of the E. coli pMccB17 plasmid-encoded microcin B17, an exported protein that targets the essential topoisomerase II DNA gyrase",S
dmlR_3,Transcriptional regulator,K
aaeX,the gene is a member of the aaeXAB operon,S
aaeA_1,P-hydroxybenzoic acid efflux pump subunit AaeA,V
aaeB_1,"Forms an efflux pump with AaeA. Could function as a metabolic relief valve, allowing to eliminate certain compounds when they accumulate to high levels in the cell",U
argR_2_argR_1,Regulates arginine biosynthesis genes,K
degS,Belongs to the peptidase S1C family,M
degQ,Belongs to the peptidase S1C family,M
yhcB,"Cytochrome D ubiquinol oxidase, subunit",S
rplM,"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly",J
rpsI,Belongs to the universal ribosomal protein uS9 family,J
sspA,stringent starvation protein A,O
sspB,Stringent starvation protein B,S
nanR_3_nanR_2,Transcriptional repressor that controls expression of the genes required for the catabolism of sialic acids,K
nanA,Neu5Ac) to form pyruvate and N-acetylmannosamine (ManNAc) via a Schiff base intermediate,H
gltD,Glutamate synthase,C
gltB_gltB_1,Glutamate synthase,E
arcB_arcB_2,Histidine kinase,T
ptsO,Phosphotransferase System,G
rapZ_1_rapZ_2_rapZ,"Modulates the synthesis of GlmS, by affecting the processing and stability of the regulatory small RNA GlmZ. When glucosamine-6-phosphate (GlcN6P) concentrations are high in the cell, RapZ binds GlmZ and targets it to cleavage by RNase E. Consequently, GlmZ is inactivated and unable to activate GlmS synthesis. Under low GlcN6P concentrations, RapZ is sequestered and inactivated by an other regulatory small RNA, GlmY, preventing GlmZ degradation and leading to synthesis of GlmS",S
ptsN,PTS IIA-like nitrogen-regulatory protein PtsN,G
hpf,sigma (54) modulation protein,J
rpoN,Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released,K
lptB_2_lptB_1,abc transporter atp-binding protein,S
lptA,"Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. May form a bridge between the inner membrane and the outer membrane, via interactions with LptC and LptD, thereby facilitating LPS transfer across the periplasm",T
lptC,Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. Facilitates the transfer of LPS from the inner membrane to the periplasmic protein LptA. Could be a docking site for LptA,S
kdsD_2_kdsD_kdsD_1,Arabinose 5-phosphate isomerase,M
yrbG,antiporter,P
mlaF,(ABC) transporter,Q
mlaE,"COG0767 ABC-type transport system involved in resistance to organic solvents, permease component",Q
mlaD,ABC-type transport system involved in resistance to organic solvents periplasmic component,Q
mlaC,MlaC protein,Q
group_4982,transcriptional regulator,K
rplU,geranyltranstransferase activity,H
yhbE,Permeases of the drug metabolite transporter (DMT) superfamily,EG
basS,Signal transduction histidine kinase,T
dacB,D-alanyl-D-alanine carboxypeptidase,M
greA,"Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides",K
yhbY,CRS1 / YhbY (CRM) domain,J
rlmE,Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit,J
secG,Preprotein translocase band 1 subunit,U
rimP,Required for maturation of 30S ribosomal subunits,J
nusA,Participates in both transcription termination and antitermination,K
infB,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex,J
rbfA,One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA,J
truB,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs,J
rpsO,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome,J
pnp,Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction,J
mtr_1_mtr_mtr_2,amino acid,E
group_3093,"COG2141 Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",C
yhbU,protease,O
group_1,acetyltransferase,S
yhbO,intracellular protease,S
group_5320,Nucleoside-diphosphate-sugar epimerases,GM
osmY_1,Periplasmic or secreted lipoprotein,S
diaA,Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate,G
group_4060,Belongs to the UPF0102 family,L
yhaK,Belongs to the pirin family,S
yhaJ,transcriptional regulator,K
cra_1,Sucrose operon repressor,K
yhaH,Protein of unknown function (DUF805),S
yqjG_yqjG_1,Glutathione S-Transferase,O
yqjF,membrane,S
yraJ_2_yraJ_1,Usher protein,NU
group_4015,Membrane,S
yqjE,Membrane,S
yqjD,Membrane protein YqjD,S
yqjC,Protein of unknown function (DUF1090),S
mzrA,"Modulates the activity of the EnvZ OmpR two-component regulatory system, probably by directly modulating EnvZ enzymatic activity and increasing stability of phosphorylated OmpR",S
yqjA,Inner membrane protein yqjA,S
lldR_1,Transcriptional,K
exuT_3_exuT_2_exuT_1,Major facilitator superfamily,G
sstT,"Involved in the import of serine and threonine into the cell, with the concomitant import of sodium (symport system)",E
alx,"membrane protein, terc",P
rlmG_1_rlmG_2_rlmG,Specifically methylates the guanine in position 1835 (m2G1835) of 23S rRNA,J
fadH_fadH_1_fadH_2,"COG1902 NADH flavin oxidoreductases, Old Yellow Enzyme family",C
patA,"Catalyzes the aminotransferase reaction from putrescine to 2-oxoglutarate, leading to glutamate and 4-aminobutanal, which spontaneously cyclizes to form 1-pyrroline. Is also able to transaminate cadaverine and, in lower extent, spermidine, but not ornithine",H
dgcZ,Diguanylate cyclase,T
aer_1_aer,"chemotaxis, protein",NT
tsr_5_tap_1_tap_trg_4_tsr_1_tsr_2_tsr_3,"chemotaxis, protein",NT
ridA,Endoribonuclease L-PSP,J
pyrI,Involved in allosteric regulation of aspartate carbamoyltransferase,F
argR_2,Regulates arginine biosynthesis genes,K
arcC1,Belongs to the carbamate kinase family,E
group_4210,Hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA,FJ
group_5787,-,-
valS,"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner",J
holC,DNA polymerase III chi subunit,L
lptF_2_lptF_1_lptF,Permease,S
lptG,permease,S
group_4453,Protein of unknown function (DUF2589),S
rrrD_1,Phage lysozyme,G
group_4174,ribonuclease,M
group_1625,-,-
yhjB,"Bacterial regulatory protein, arsR family",K
group_5490,SIR2-like domain,K
group_654,transcriptional regulator,K
group_1000,-,-
