Gene,Annotation
plsB_1_plsB_2_plsB,Glycerol-3-phosphate acyltransferase;hypothetical protein
hcaT_2_hcaT_1_hcaT,putative 3-phenylpropionic acid transporter
yfhL,Ferredoxin YfhL
panC,Pantothenate synthetase
efp,Elongation factor P
group_5425,hypothetical protein
group_5424,hypothetical protein
prmC,Release factor glutamine methyltransferase
cmoA,hypothetical protein;Carboxy-S-adenosyl-L-methionine synthase
rlmB,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
group_5416,hypothetical protein
trmO,tRNA (adenine(37)-N6)-methyltransferase
metQ_2_metQ_1,D-methionine-binding lipoprotein MetQ
nemA_2_nemA_3_nemA_1,N-ethylmaleimide reductase
fdm,putative zinc-binding alcohol dehydrogenase;Formaldehyde dismutase;hypothetical protein
fliT,Flagellar protein FliT
group_5405,hypothetical protein
ydjF,putative HTH-type transcriptional regulator YdjF
amiA_1_amiA_2_amiA,N-acetylmuramoyl-L-alanine amidase AmiA
ygiW_2_ygiW_1,Protein YgiW
ubiX,Flavin prenyltransferase UbiX
tolQ,Tol-Pal system protein TolQ
ohrR,Organic hydroperoxide resistance transcriptional regulator
pbpC_pbpC_1_pbpC_2,Penicillin-binding protein 1C
rlmC,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC;hypothetical protein
sotB,Sugar efflux transporter
group_5387,hypothetical protein
cmoB,tRNA U34 carboxymethyltransferase
tadA_2_ribD,tRNA-specific adenosine deaminase;Riboflavin biosynthesis protein RibD
rcsC_3_barA_1_barA_2_barA,hypothetical protein;Sensor histidine kinase RcsC;Signal transduction histidine-protein kinase BarA
truC,tRNA pseudouridine synthase C
yajI,putative lipoprotein YajI
ndhK_nuoB,NAD(P)H-quinone oxidoreductase subunit K chloroplastic;NADH-quinone oxidoreductase subunit B
msrQ,Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
kgtP_kgtP_2_kgtP_1,Alpha-ketoglutarate permease;hypothetical protein
group_5369,hypothetical protein
group_5368,hypothetical protein
rsmH,Ribosomal RNA small subunit methyltransferase H
cra_1_cra_2,Catabolite repressor/activator
nnr,Bifunctional NAD(P)H-hydrate repair enzyme Nnr
pyrB,Aspartate carbamoyltransferase catalytic subunit
group_5361,hypothetical protein
yeiP,Elongation factor P-like protein
topA_1_topA_2_smg,DNA topoisomerase 1;Protein Smg;hypothetical protein
group_5351,hypothetical protein
rhtC_1_leuE,Threonine efflux protein;Leucine efflux protein
rimK,Ribosomal protein S6--L-glutamate ligase
group_5350,hypothetical protein
ygaZ,Inner membrane protein YgaZ
moaD,Molybdopterin synthase sulfur carrier subunit
moaB,Molybdenum cofactor biosynthesis protein B
menA,14-dihydroxy-2-naphthoate octaprenyltransferase;hypothetical protein
rapZ_1_rapZ_2_rapZ,RNase adapter protein RapZ
yebS_1_yebS_2_yebS,Intermembrane transport protein YebS
proQ_2_proQ_1_proQ,RNA chaperone ProQ;hypothetical protein
trxB_1_trxB,Thioredoxin reductase
ftsK,DNA translocase FtsK;hypothetical protein
lpxH,UDP-23-diacylglucosamine hydrolase
nfuA,Fe/S biogenesis protein NfuA
nudK_1,GDP-mannose pyrophosphatase NudK
rpoE,ECF RNA polymerase sigma-E factor
osmY_1,Osmotically-inducible protein Y
lptC,Lipopolysaccharide export system protein LptC
ileS_ileS_2_ileS_1,hypothetical protein;Isoleucine--tRNA ligase
group_5338,hypothetical protein
nudC_2_nudC_1_nudC,NADH pyrophosphatase
group_5337,hypothetical protein
group_5329,hypothetical protein
maa_1_maa_maa_2,Maltose O-acetyltransferase
group_5323,hypothetical protein
fmt,Methionyl-tRNA formyltransferase
group_5322,hypothetical protein
group_5319,hypothetical protein
yceF,7-methyl-GTP pyrophosphatase;hypothetical protein
ygfX,Inner membrane protein YgfX
cpoB,Cell division coordinator CpoB
rlhA_2_rlhA_1_rlhA_3,23S rRNA 5-hydroxycytidine synthase;hypothetical protein
nhaB_nhaB_1_nhaB_2,Na(+)/H(+) antiporter NhaB
gph_2_hxpB,Phosphoglycolate phosphatase;Hexitol phosphatase B
gcd_2_gcd_1_gcd,Quinoprotein glucose dehydrogenase
spy,Periplasmic chaperone Spy;hypothetical protein
ybaY,putative lipoprotein YbaY
btuD_3_btuD_1_btuD_2_btuD_4_btuD_5,Vitamin B12 import ATP-binding protein BtuD
ybfF,Esterase YbfF
dnaX,DNA polymerase III subunit tau;hypothetical protein
ybaN,Inner membrane protein YbaN
group_5298,hypothetical protein
group_5292,hypothetical protein
pyrC_2_pyrC_1_pyrC,Dihydroorotase
pagP,Lipid A palmitoyltransferase PagP
yhhS,putative MFS-type transporter YhhS
rlmA,23S rRNA (guanine(745)-N(1))-methyltransferase
ygiW_1_ygiW_3,hypothetical protein;Protein YgiW
group_5290,hypothetical protein
prs_3_prs_2,hypothetical protein;Putative ribose-phosphate pyrophosphokinase
narL_2_narL_1,Nitrate/nitrite response regulator protein NarL
rseA,hypothetical protein;Anti-sigma-E factor RseA
dsbD_1_dsbD_2,Thiol:disulfide interchange protein DsbD
atl,DNA base-flipping protein
ampG,Anhydromuropeptide permease
yfcE,Phosphodiesterase YfcE
yohD,Inner membrane protein YohD
gntU,Low-affinity gluconate transporter
asd_2_asd_1_asd,Aspartate-semialdehyde dehydrogenase
panE,2-dehydropantoate 2-reductase
hemW,Heme chaperone HemW
flhC,Flagellar transcriptional regulator FlhC
mdaB,NADPH:quinone oxidoreductase MdaB
cysN_cysN_2_cysN_1,Sulfate adenylyltransferase subunit 1
dinF,DNA damage-inducible protein F
hycA,Formate hydrogenlyase regulatory protein HycA
ndhD_hyfB,hypothetical protein;NAD(P)H-quinone oxidoreductase chain 4;Hydrogenase-4 component B
ybdL,Methionine aminotransferase;hypothetical protein
mtnC,Enolase-phosphatase E1
prfC,Peptide chain release factor RF3
group_5256,hypothetical protein
norG_2_norG_1_lysN,HTH-type transcriptional regulator NorG;hypothetical protein;2-aminoadipate transaminase
ligB_2_ligB_ligB_1,DNA ligase B
yihG_2_yihG_yihG_1,putative acyltransferase YihG;hypothetical protein
srkA,Stress response kinase A
nlpD_2,hypothetical protein;Murein hydrolase activator NlpD
group_5248,hypothetical protein
yihI,Der GTPase-activating protein YihI
group_5247,hypothetical protein
yfcD,putative Nudix hydrolase YfcD
group_5241,hypothetical protein
group_5240,hypothetical protein
group_5239,hypothetical protein
rob,Right origin-binding protein
group_5233,hypothetical protein
ygfZ,tRNA-modifying protein YgfZ
tyrS,Tyrosine--tRNA ligase
yjfC_2_yjfC_yjfC_1,Putative acid--amine ligase YjfC
serA_2_serA_1_serA,D-3-phosphoglycerate dehydrogenase
holE,DNA polymerase III subunit theta
ptrB,Protease 2
group_5231,hypothetical protein
phoQ,Virulence sensor histidine kinase PhoQ
group_5228,hypothetical protein
yfgD,putative protein YfgD
bioC,Malonyl-[acyl-carrier protein] O-methyltransferase
sbcD_1_sbcD_2_sbcD,Nuclease SbcCD subunit D;hypothetical protein
mtnD,Acireductone dioxygenase
ygjP,UTP pyrophosphatase
yqgF,Putative pre-16S rRNA nuclease
group_5213,HTH-type transcriptional regulator SgrR;hypothetical protein
group_5212,hypothetical protein
polB,DNA polymerase II
mog,Molybdopterin adenylyltransferase
cbiO_lptB_3_livF_2,Cobalt import ATP-binding protein CbiO;hypothetical protein;Lipopolysaccharide export system ATP-binding protein LptB;High-affinity branched-chain amino acid transport ATP-binding protein LivF
dgt,hypothetical protein;Deoxyguanosinetriphosphate triphosphohydrolase
group_5208,hypothetical protein
group_5206,hypothetical protein
yabI,hypothetical protein;Inner membrane protein YabI
group_5202,Lipid A export ATP-binding/permease protein MsbA;Putative multidrug export ATP-binding/permease protein
flgI_1_flgI_2_flgI,Flagellar P-ring protein
moaE,Molybdopterin synthase catalytic subunit
group_5198,hypothetical protein
metC_2_metC_3_metC_1,Cystathionine beta-lyase MetC
recJ,Single-stranded-DNA-specific exonuclease RecJ
tusD,Sulfurtransferase TusD
ybiO_2_ybiO_ybiO_1,hypothetical protein;Moderate conductance mechanosensitive channel YbiO
clpB_2_clpB_1_clpB,hypothetical protein;Chaperone protein ClpB
artP,Arginine transport ATP-binding protein ArtP
group_5192,hypothetical protein
pdxJ_1_pdxJ_2_pdxJ,Pyridoxine 5'-phosphate synthase
mdoB_2_mdoB_1_mdoB,Phosphoglycerol transferase I
nudB,Dihydroneopterin triphosphate diphosphatase
ydjM,Inner membrane protein YdjM
yifK,hypothetical protein;putative transport protein YifK
diaA,DnaA initiator-associating protein DiaA
frdC,Fumarate reductase subunit C
yciI,Protein YciI
fadL_fadL_1_fadL_2,Long-chain fatty acid transport protein
clsB_1_clsB_2_clsB,Cardiolipin synthase B
tatD_tatD_1_tatD_2,3'-5' ssDNA/RNA exonuclease TatD
cnoX,Chaperedoxin
argC,N-acetyl-gamma-glutamyl-phosphate reductase
group_5171,hypothetical protein
glnD_glnD_2,Bifunctional uridylyltransferase/uridylyl-removing enzyme;hypothetical protein
copA_3_copA_1_copA_4_copA_copA_2,Copper-exporting P-type ATPase;hypothetical protein
yihX,hypothetical protein;Alpha-D-glucose 1-phosphate phosphatase YihX
dcuD_dcuD_2_dcuD_1,Putative cryptic C4-dicarboxylate transporter DcuD
group_5160,hypothetical protein
yajL,Protein/nucleic acid deglycase 3
rdgB,dITP/XTP pyrophosphatase
group_5154,hypothetical protein
yddG_yddG_2_yddG_1,hypothetical protein;Methyl viologen resistance protein YddG;Aromatic amino acid exporter YddG
ptsG_3_ptsG_2_ptsG_4_ptsG_1,PTS system glucose-specific EIICBA component
frlD,Fructoselysine 6-kinase
sugA,Trehalose transport system permease protein SugA
malH_aglB_1_pagL,Maltose-6'-phosphate glucosidase;6-phospho-alpha-glucosidase
murQ,N-acetylmuramic acid 6-phosphate etherase
rhaT_1_rhaT_2_rhaT,L-rhamnose-proton symporter
pyrH_1_pyrH_2_pyrH,Uridylate kinase
ycaO,Ribosomal protein S12 methylthiotransferase accessory factor YcaO;hypothetical protein
atpB_1_atpD,ATP synthase subunit beta
group_5143,hypothetical protein
dtd,D-aminoacyl-tRNA deacylase
ysnE,putative N-acetyltransferase YsnE
group_5135,hypothetical protein
grpE,Protein GrpE
yajR,Inner membrane transport protein YajR
pstC,Phosphate transport system permease protein PstC
slmA,Nucleoid occlusion factor SlmA
group_5127,hypothetical protein
group_5125,PTS system EIIBC component;hypothetical protein
zwf_2_zwf_1_zwf,Glucose-6-phosphate 1-dehydrogenase
yfcG,Disulfide-bond oxidoreductase YfcG
group_5121,hypothetical protein
fdoI_2_fdoI_fdoI_1,hypothetical protein;Formate dehydrogenase cytochrome b556(fdo) subunit
sbcC_sbcC_1_sbcC_2,Nuclease SbcCD subunit C;hypothetical protein
group_5114,hypothetical protein
msiK_msmX_1,Diacetylchitobiose uptake system ATP-binding protein MsiK;Oligosaccharides import ATP-binding protein MsmX;hypothetical protein
secM,Secretion monitor
pcpR,PCP degradation transcriptional activation protein
hemD,Uroporphyrinogen-III synthase
ycdX_1_ycdX_2_ycdX,putative phosphatase YcdX
yfbR,5'-deoxynucleotidase YfbR
ttuB_1_abaQ_ttuB_2,Putative tartrate transporter;Quinolone resistance transporter;hypothetical protein
tktB_tktB_2_tktB_1,Transketolase 2
group_5098,Chaperone protein HscC
group_5097,hypothetical protein
group_5093,hypothetical protein
alsT_1_alsT,hypothetical protein;Amino-acid carrier protein AlsT
group_5091,hypothetical protein;putative transporter
flgK,Flagellar hook-associated protein 1
tatE,Sec-independent protein translocase protein TatE
group_5087,hypothetical protein
iolU,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU;hypothetical protein
dxs_1_dxs_2_dxs,1-deoxy-D-xylulose-5-phosphate synthase
damX,Cell division protein DamX
pnuC,Nicotinamide riboside transporter PnuC
group_5083,hypothetical protein
prmA,Ribosomal protein L11 methyltransferase
yrbG,Inner membrane protein YrbG
sapC_1_sapC_sapC_2,Putrescine export system permease protein SapC;Peptide transport system permease protein SapC
group_5078,hypothetical protein
ubiJ_1,Ubiquinone biosynthesis accessory factor UbiJ
malY,Protein MalY
group_5075,hypothetical protein
rraB,Regulator of ribonuclease activity B
tabA,Toxin-antitoxin biofilm protein TabA
group_5074,hypothetical protein
group_5073,hypothetical protein
group_5070,hypothetical protein
auaH_3_oleD,Aurachin B dehydrogenase;2-alkyl-3-oxoalkanoate reductase;hypothetical protein
ptsG_1_ptsG_5_ptsG_3_ptsG_4,PTS system glucose-specific EIICBA component
cysT,hypothetical protein;Sulfate transport system permease protein CysT
yfeX,Dye-decolorizing peroxidase YfeX
zinT,Metal-binding protein ZinT
group_5065,hypothetical protein
hemF,Oxygen-dependent coproporphyrinogen-III oxidase
draG,hypothetical protein;ADP-ribosyl-[dinitrogen reductase] glycohydrolase
bglF_1_bglF_2,hypothetical protein;PTS system beta-glucoside-specific EIIBCA component
pabC,Aminodeoxychorismate lyase
yejB,Inner membrane ABC transporter permease protein YejB;hypothetical protein
thiK,Thiamine kinase
holD,DNA polymerase III subunit psi
yisK_1_yisK_2,putative protein;putative protein YisK;hypothetical protein
purC_1_purC_2_purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase
astC,Succinylornithine transaminase
coaE,Dephospho-CoA kinase
group_5052,hypothetical protein
group_5049,hypothetical protein
ybeY,Endoribonuclease YbeY
pncC_1_pncC_pncC_2,Nicotinamide-nucleotide amidohydrolase PncC
recX,Regulatory protein RecX
purE,N5-carboxyaminoimidazole ribonucleotide mutase
mdh,Malate dehydrogenase
acpH,Acyl carrier protein phosphodiesterase
dadA_1_dadA_2_dadA,D-amino acid dehydrogenase
wzxE_1_wzxE,Lipid III flippase
mscS,Small-conductance mechanosensitive channel
group_5040,hypothetical protein
citG_citG_2_citG_3,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
panM_panM_1,PanD regulatory factor
group_5036,hypothetical protein;Tyrosine-specific transport protein
cysC,Adenylyl-sulfate kinase
recR,Recombination protein RecR
group_5034,hypothetical protein
rplD,50S ribosomal protein L4
ybhQ,Inner membrane protein YbhQ
ybhS,putative multidrug ABC transporter permease YbhS
trg_1_trg_2_trg_4,hypothetical protein;Methyl-accepting chemotaxis protein III
group_5024,hypothetical protein;Beta-xylosidase;Putative beta-xylosidase
emrA_1_farA_emrA_3_emrA_2,Colistin resistance protein EmrA;Fatty acid resistance protein FarA
icd_2_icd_1_icd,Isocitrate dehydrogenase [NADP]
yajC,Sec translocon accessory complex subunit YajC;hypothetical protein
thiG,Thiazole synthase
usg,USG-1 protein
galM_2_galM_1_galM,Aldose 1-epimerase
bglK,Beta-glucoside kinase
cdhR,HTH-type transcriptional regulator CdhR;hypothetical protein
basS,Sensor protein BasS
folD,Bifunctional protein FolD protein
pyrF,Orotidine 5'-phosphate decarboxylase
group_5013,hypothetical protein
group_5008,hypothetical protein
group_5003,LexA repressor
ychN,Protein YchN
yiiM,Protein YiiM
mnmC_mnmC_1_mnmC_2,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC;hypothetical protein
rutB_2_rutB_1,hypothetical protein;Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
sufE,Cysteine desulfuration protein SufE
nagD,Ribonucleotide monophosphatase NagD
yicJ_3_yicJ_2_yicJ_1,Inner membrane symporter YicJ
group_4998,hypothetical protein
hcxA_hcxA_1,Hydroxycarboxylate dehydrogenase A
ybiU_ybiU_1_ybiU_2,putative protein YbiU;hypothetical protein
group_4988,hypothetical protein
roxA_2,50S ribosomal protein L16 3-hydroxylase
ygjV,Inner membrane protein YgjV
adhR,HTH-type transcriptional regulator AdhR;hypothetical protein
hmp,Flavohemoprotein
rhaD_2_rhaD_1_rhaD,Rhamnulose-1-phosphate aldolase
gpmI,23-bisphosphoglycerate-independent phosphoglycerate mutase
tauR_gabR_1_gabR_2,HTH-type transcriptional regulator TauR;HTH-type transcriptional regulatory protein GabR
ascG_2_ascG_1,HTH-type transcriptional regulator AscG
occR,Octopine catabolism/uptake operon regulatory protein OccR
group_4979,hypothetical protein
group_4975,hypothetical protein
ruvA,Holliday junction ATP-dependent DNA helicase RuvA
group_4972,hypothetical protein
ftsW_2_ftsW_1_ftsW,putative peptidoglycan glycosyltransferase FtsW
xylB,Xylulose kinase
brnQ_2_brnQ_1_brnQ,Branched-chain amino acid transport system 2 carrier protein
yliI,Aldose sugar dehydrogenase YliI;hypothetical protein
rhaS_5_rhaS_4,hypothetical protein;HTH-type transcriptional activator RhaS
trpB_1_trpB_2_trpB_3_trpB,Tryptophan synthase beta chain
folP,Dihydropteroate synthase
malZ_1_malZ_2_malZ,Maltodextrin glucosidase;hypothetical protein
trmL,tRNA (cytidine(34)-2'-O)-methyltransferase
scrY_1_scrY,Sucrose porin
scrB,Sucrose-6-phosphate hydrolase
selU_1_selU_selU_2,tRNA 2-selenouridine synthase
rbsR,Ribose operon repressor
nanR_1_nanR_3,HTH-type transcriptional repressor NanR
guaB_1_guaB_2_guaB,Inosine-5'-monophosphate dehydrogenase
group_4954,Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
exuT_3_exuT_2_exuT_1,Hexuronate transporter
icsA,hypothetical protein;Outer membrane protein IcsA autotransporter
group_4951,hypothetical protein
ubiF,3-demethoxyubiquinol 3-hydroxylase
osmY_2,Osmotically-inducible protein Y
qorA,Quinone oxidoreductase 1
ubiK,Ubiquinone biosynthesis accessory factor UbiK
codB_1_codB_2_codB,Cytosine permease;hypothetical protein
group_4949,hypothetical protein
rssB_3_basR,Regulator of RpoS;Transcriptional regulatory protein BasR
puuD_1_puuD_2,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
ydiV_1_ydiV_3_ydiV_2_ydiV,Anti-FlhC(2)FlhD(4) factor YdiV
aroH,Phospho-2-dehydro-3-deoxyheptonate aldolase Trp-sensitive
ydfZ_ydfZ_1,Putative selenoprotein YdfZ
yfgJ,putative protein YfgJ
kdgK_2_kdgK_1,2-dehydro-3-deoxygluconokinase;hypothetical protein
group_4938,hypothetical protein
group_4936,putative protein;hypothetical protein
cph2,hypothetical protein;Phytochrome-like protein cph2
glpF,Glycerol uptake facilitator protein
yibL,putative protein YibL
nlpD_1_nlpD_2,Murein hydrolase activator NlpD;hypothetical protein
ydgH,Protein YdgH
xylH_1_xylH_2_xylH,Xylose transport system permease protein XylH
purL_1_purL_purL_2,Phosphoribosylformylglycinamidine synthase;hypothetical protein
ompX,Outer membrane protein X
yfiC,tRNA1(Val) (adenine(37)-N6)-methyltransferase
mazG,hypothetical protein;Nucleoside triphosphate pyrophosphohydrolase
eno_2_eno_1_eno,Enolase
ywrO_1_ywrO_2_kefG,General stress protein 14;Glutathione-regulated potassium-efflux system ancillary protein KefG
vdcA_dgcM,hypothetical protein;Diguanylate cyclase VdcA;Diguanylate cyclase DgcM
ahr,Aldehyde reductase Ahr
cyoC,Cytochrome bo(3) ubiquinol oxidase subunit 3
